名次,学校名称,总分,类型,所在省份,所在城市,办学方向,主管部门
1,北京大学,100,综合,北京,北京市,中国研究型,教育部
2,清华大学,98.5,理工,北京,北京市,中国研究型,教育部
3,复旦大学,82.79,综合,上海,上海市,中国研究型,教育部
4,武汉大学,82.43,综合,湖北,武汉市,中国研究型,教育部
5,浙江大学,82.38,综合,浙江,杭州市,中国研究型,教育部
6,中国人民大学,81.98,综合,北京,北京市,中国研究型,教育部
7,上海交通大学,81.76,综合,上海,上海市,中国研究型,教育部
8,南京大学,80.43,综合,江苏,南京市,中国研究型,教育部
9,国防科学技术大学,80.31,理工,湖南,长沙市,中国研究型,中央军委
10,中山大学,76.46,综合,广东,广州市,中国研究型,教育部
11,吉林大学,76.01,综合,吉林,长春市,中国研究型,教育部
12,中国科学技术大学,75.14,理工,安徽,合肥市,中国研究型,中国科学院
13,华中科技大学,75.12,理工,湖北,武汉市,中国研究型,教育部
14,四川大学,74.99,综合,四川,成都市,中国研究型,教育部
15,北京师范大学,74.75,师范,北京,北京市,中国研究型,教育部
16,南开大学,74.46,综合,天津,天津市,中国研究型,教育部
17,西安交通大学,73.56,综合,陕西,西安市,中国研究型,教育部
18,中南大学,73.13,综合,湖南,长沙市,中国研究型,教育部
19,同济大学,72.85,理工,上海,上海市,中国研究型,教育部
20,天津大学,72.81,理工,天津,天津市,中国研究型,教育部
21,哈尔滨工业大学,72.72,理工,黑龙江,哈尔滨市,中国研究型,工业和信息化部
21,山东大学,72.72,综合,山东,济南市,中国研究型,教育部
23,厦门大学,72.23,综合,福建,厦门市,中国研究型,教育部
24,东南大学,71.35,综合,江苏,南京市,中国研究型,教育部
25,北京航空航天大学,70.58,理工,北京,北京市,中国研究型,工业和信息化部
26,东北大学,69.55,理工,辽宁,沈阳市,中国研究型,教育部
27,重庆大学,69.54,综合,重庆,重庆市,中国研究型,教育部
28,华东师范大学,69.52,师范,上海,上海市,中国研究型,教育部
29,大连理工大学,68.84,理工,辽宁,大连市,中国研究型,教育部
30,北京理工大学,68.72,理工,北京,北京市,中国研究型,工业和信息化部
31,华南理工大学,68.47,理工,广东,广州市,中国研究型,教育部
32,中国农业大学,68.05,农林,北京,北京市,行业特色研究型,教育部
33,湖南大学,68.03,综合,湖南,长沙市,中国研究型,教育部
34,华中师范大学,67.92,师范,湖北,武汉市,中国研究型,教育部
35,西北工业大学,67.77,理工,陕西,西安市,中国研究型,工业和信息化部
36,兰州大学,67.21,综合,甘肃,兰州市,中国研究型,教育部
37,电子科技大学,66.88,理工,四川,成都市,行业特色研究型,教育部
38,武汉理工大学,66.6,理工,湖北,武汉市,行业特色研究型,教育部
39,中国地质大学,66.56,理工,湖北,武汉市,行业特色研究型,教育部
40,东北师范大学,66.5,师范,吉林,长春市,行业特色研究型,教育部
41,北京科技大学,66.42,理工,北京,北京市,行业特色研究型,教育部
42,北京交通大学,66.08,理工,北京,北京市,行业特色研究型,教育部
42,长安大学,66.08,理工,陕西,西安市,行业特色研究型,教育部
42,中国矿业大学,66.08,理工,江苏,徐州市,行业特色研究型,教育部
45,北京协和医学院,66.03,医药,北京,北京市,行业特色研究型,国家卫生和计划生育委员会
46,南京农业大学,65.9,农林,江苏,南京市,行业特色研究型,教育部
47,西北大学,65.88,综合,陕西,西安市,区域研究型,陕西省
48,华东理工大学,65.79,理工,上海,上海市,行业特色研究型,教育部
49,华中农业大学,65.77,农林,湖北,武汉市,行业特色研究型,教育部
50,南京师范大学,65.71,师范,江苏,南京市,区域特色研究型,江苏省
51,西南交通大学,65.67,理工,四川,成都市,行业特色研究型,教育部
52,西南大学,65.64,师范,重庆,重庆市,区域研究型,教育部
53,中国海洋大学,65.56,综合,山东,青岛市,行业特色研究型,教育部
54,河海大学,65.5,理工,江苏,南京市,行业特色研究型,教育部
55,解放军信息工程大学,65.49,理工,河南,郑州,行业特色研究型, 
56,南京理工大学,65.48,理工,江苏,南京市,行业特色研究型,工业和信息化部
57,哈尔滨工程大学,65.41,理工,黑龙江,哈尔滨市,行业特色研究型,工业和信息化部
58,暨南大学,65.17,综合,广东,广州市,区域研究型,国务院侨办
59,云南大学,65.11,综合,云南,昆明市,区域研究型,云南省
60,中国石油大学,65.1,理工,北京,北京市,行业特色研究型,教育部
61,南京航空航天大学,65.05,理工,江苏,南京市,行业特色研究型,工业和信息化部
62,郑州大学,65.01,综合,河南,郑州市,区域研究型,河南省
63,苏州大学,64.99,综合,江苏,苏州市,区域研究型,江苏省
64,上海财经大学,64.96,财经,上海,上海市,行业特色研究型,教育部
65,西北农林科技大学,64.92,农林,陕西,咸阳市,行业特色研究型,教育部
66,中国政法大学,64.9,政法,北京,北京市,行业特色研究型,教育部
67,合肥工业大学,64.88,理工,安徽,合肥市,行业特色研究型,教育部
68,北京邮电大学,64.86,理工,北京,北京市,行业特色研究型,教育部
69,西安电子科技大学,64.82,理工,陕西,西安市,行业特色研究型,教育部
70,第三军医大学,64.81,医药,重庆,重庆,行业特色研究型, 
71,第二军医大学,64.74,医药,上海,上海,行业特色研究型, 
72,湖南师范大学,64.65,师范,湖南,长沙市,区域研究型,湖南省
73,第四军医大学,64.51,医药,陕西,西安,行业特色研究型, 
74,华南师范大学,64.42,师范,广东,广州市,区域特色研究型,广东省
75,上海大学,64.41,综合,上海,上海市,区域研究型,上海市
76,中南财经政法大学,64.32,财经,湖北,武汉市,行业特色研究型,教育部
77,西南财经大学,64.27,财经,四川,成都市,区域特色研究型,教育部
78,北京化工大学,64.26,理工,北京,北京市,行业特色研究型,教育部
79,东华大学,64.24,理工,上海,上海市,行业特色研究型,教育部
80,南昌大学,64.18,综合,江西,南昌市,区域研究型,江西省
81,解放军理工大学,64.09,理工,江苏,南京市,行业特色研究型, 
82,中央财经大学,63.99,财经,北京,北京市,区域特色研究型,教育部
83,北京工业大学,63.89,理工,北京,北京市,区域研究型,北京市
83,福州大学,63.89,理工,福建,福州市,区域研究型,福建省
83,广西大学,63.89,综合,广西,南宁市,区域研究型,广西壮族自治区
